meal_name,price,hot_or_cold,cuisine_type,meal_category,cooking_method,meat_1,meat_2,meat_3,carbs_1,carbs_2,veggie_1,veggie_2,veggie_3,dairy_1,dairy_2,dairy_3,dairy_4,gluten_free,halal,flavouring,restaurant_ID
Garlic Bread,$4.50,Hot,Mediterranean,Entree,Baked,NA,NA,NA,Turkish bread,NA,Garlic,NA,NA,NA,NA,NA,NA,No,Yes,Garlic & Herbs,7
Cheese Garlic Bread,$8.50,Hot,Mediterranean,Entree,Baked,NA,NA,NA,Turkish bread,NA,Garlic,NA,NA,Cheese,NA,NA,NA,No,Yes,Garlic & Herbs,7
Za'atar,$9.50,Cold,Mediterranean,Entree,Baked,NA,NA,NA,Bread,NA,Oregano,NA,NA,NA,NA,NA,NA,No,Yes,Oregano,7
Sahara Bruschetta,$9.50,Cold,Mediterranean,Entree,Marinated,NA,NA,NA,Bread,NA,Tomatoes,Onion,NA,Feta,NA,NA,NA,No,Yes,Basil & Olive oil,7
Bowl of hot chips,$7.00,Hot,Mediterranean,Entree,Fried,NA,NA,NA,Starch,NA,Potatoes,NA,NA,NA,NA,NA,NA,No,Yes,Salt,7
Olives,$7.50,Cold,Mediterranean,Entree,Marinated,NA,NA,NA,Bread,NA,Olives,Garlic,NA,NA,NA,NA,NA,No,Yes,Garlic & Herbs,7
Wedges,$9.00,Hot,Mediterranean,Entree,Fried,NA,NA,NA,Starch,NA,Potatoes,NA,NA,Sour cream,NA,NA,NA,No,Yes,Sweet Chilli,7
Soup of the day,$10.50,Hot,Mediterranean,Entree,Soup,TBA,TBA,NA,Turkish bread,NA,TBA,TBA,NA,TBA,NA,NA,NA,TBA,Yes,TBA,7
Hummus,$9.50,Cold,Mediterranean,Entree,Purred,NA,NA,NA,Turkish bread,NA,Chickpeas,Tahini,NA,NA,NA,NA,NA,No,Yes,Garlic & Herbs,7
Jajik,$9.50,Cold,Mediterranean,Entree,Purred,NA,NA,NA,Turkish bread,NA,Cucumber,NA,NA,Yoghurt,NA,NA,NA,No,Yes,Mint & Garlic,7
Babaganoush,$10.50,Cold,Mediterranean,Entree,Chargrilled,NA,NA,NA,Turkish bread,NA,Eggplant,Tahini,NA,Yoghurt,NA,NA,NA,No,Yes,Garlic,7
Zucchini,$9.50,Cold,Mediterranean,Entree,Purred,NA,NA,NA,Turkish bread,NA,Zucchini,Walnuts,NA,NA,NA,NA,NA,No,Yes,Dill,7
Beetroot,$9.50,Cold,Mediterranean,Entree,Purred,NA,NA,NA,Turkish bread,NA,Beetroot,Garlic,NA,Yoghurt,NA,NA,NA,No,Yes,Garlic,7
Chilli,$10.50,Cold,Mediterranean,Entree,Chargrilled,NA,NA,NA,Turkish bread,NA,Red Peepers,NA,NA,Yoghurt,NA,NA,NA,No,Yes,Chilli,7
Vine leaves & cabbage,$15.50,Cold,Mediterranean,Sides,Marinated,NA,NA,NA,Rice,NA,Vine leaves,Cabbage,NA,Yoghurt,NA,NA,NA,No,Yes,Sour,7
Salt & pepper squid,$15.50,Hot,Mediterranean,Sides,Fried,Squid,NA,NA,Starch,NA,Potatoes,Mixed,NA,NA,NA,NA,NA,No,Yes,Salt n pepper,7
Haloumi Stack,$17.50,Hot,Mediterranean,Sides,Chargrilled,NA,NA,NA,NA,NA,Mixed,Mixed,NA,Haloumi,NA,NA,NA,No,Yes,Salt,7
Chilli Prawns,$17.50,Hot,Mediterranean,Sides,Braised,Prawns,NA,NA,Bread,NA,Garlic,Chilli,NA,NA,NA,NA,NA,No,Yes,Chilli,7
Imam Bayildi,$17.50,Hot,Mediterranean,Sides,Fried,NA,NA,NA,NA,NA,Eggplant,Mixed,NA,Yoghurt,NA,NA,NA,No,Yes,Garlic,7
Oven baked mushrooms,$17.50,Hot,Mediterranean,Sides,Baked,NA,NA,NA,NA,NA,Mushroom,NA,NA,Fetta,Mozzarella,Parmesan,NA,No,Yes,Cheesy,7
Sigara Borek,$17.50,Hot,Mediterranean,Sides,Baked,NA,NA,NA,Filo pastry,NA,Spinach,Potatoes,NA,Fetta,NA,NA,NA,No,Yes,Chilli,7
Labne,$15.50,Hot,Mediterranean,Sides,Purred,NA,NA,NA,Bread,NA,NA,NA,NA,Butter,NA,NA,NA,No,Yes,Garlic,7
Falafel,$14.50,Hot,Mediterranean,Sides,Fried,NA,NA,NA,Starch,NA,Potatoes,NA,NA,NA,NA,NA,NA,No,Yes,Garlic,7
Cabbage Salad,$13.50,Cold,Mediterranean,Salad,Uncooked,NA,NA,NA,NA,NA,Cabbage,Lemon,NA,NA,NA,NA,NA,Yes,Yes,Olive & Lemon,7
Tabouli,$14.00,Cold,Mediterranean,Salad,Uncooked,NA,NA,NA,Wheat,NA,Parsley,Tomato,NA,NA,NA,NA,NA,No,Yes,Onion & Lemon,7
Rocket Salad,$15.00,Cold,Mediterranean,Salad,Uncooked,NA,NA,NA,Walnuts,NA,Rocket,Pomegranate,NA,Parmesan,NA,NA,NA,No,Yes,Pomegranate & Olive,7
